from,to,relation
JL,SetUp,1
JL,TaTePa,1
JL,EuAl,1
JL,CoAl,1
JL,USCM,1
MT,RCC,1
MT,VoLeCa,1
MT,VoZue,1
MT,LeCaVoBa,1
MT,SAPf,1
MT,VCM,1
ET,TaTePa,1
ET,AlAp,1
ET,EuTw,1
ET,LaBlAa,1
HK,VfBU,1
HK,OlSt,1
HK,BuSt,1
IV,AsKi,1
IV,RCC,1
IV,IBiFi,1
IV,CaLj,1
IV,RoRaVi,1
IV,CSMT,1
JN,GrBuLo,1
JN,BKSPCBB,1
JN,KSPBU20,1
JN,SMS,1
SL,KAF,1
SL,Be,1
SL,ImVoCo,1
SL,PeStUn,1
MSP,BVMB,1
MSP,DrSC,1
MSP,BSBC,1
MSP,SaTeMo,1
MSP,DeInTr,1
MSP,GeHeOl,1
MSP,CVBa,1
HJ,VfBSLT,1
HJ,VCS,1
HD,AMTVS,1
HD,BuSt,1
KR,UnOfAl,1
KR,BeAn,1
KR,MNE,1
LB,FVTM,1
LB,BSPMTVS,1
LB,VCOB,1
RK,OKNKBMB,1
RK,LPV,1
RK,LPK,1
RK,HaeLe,1
RK,Ki,1
RK,SoPa,1
LG,EJS,1
LG,BuSt,1
JL,NED,2
MT,BUL,2
ET,NED,2
HK,GER,2
IV,BEL,2
JN,POL,2
SL,USA,2
MSP,ESP,2
HJ,NED,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2
